step,x,y,yaw,v_cmd,w_cmd,lidar_min,path_len_left,motor_current,maintenance_alert,ai_action,path_blocked
0,2.725,2.5,0.27,1.5,1.8,3.600000000000001,54,4.4821971054573915,0,seguir,0
1,2.9550931451462126,2.5636801499282886,0.5105573469232647,1.5916171641609653,1.6037156461550972,3.600000000000001,54,4.2404479893934806,0,seguir,0
2,3.2139760814101765,2.708678068382568,0.5234245585362904,1.9781559431250937,0.08578141075350376,3.600000000000001,54,3.901760352848713,0,seguir,0
3,3.4714785698388706,2.8572873903064626,0.5339945962810932,1.9820557466052984,0.07046691829868501,3.800000000000001,54,4.0093510675773,0,seguir,0
4,3.7276968464717983,3.00878812118071,0.5431916630491473,1.9843865745271252,0.061313778453694345,4.000000000000001,54,4.006138593899072,0,seguir,0
5,3.7790606484732354,3.039800374306808,0.8131916630491474,0.4,1.8,4.000000000000001,54,3.682569752964445,0,seguir,0
6,3.820291643137639,3.083389422002117,1.0831916630491474,0.4,1.8,3.400000000000001,54,3.66920108832112,0,seguir,0
7,3.8501384510041365,3.139670677052755,1.353191663049147,0.42470442584066337,1.8,3.2000000000000006,54,3.7767272988137592,0,seguir,0
8,3.8689143245258077,3.224588786606616,1.6231916630491465,0.5797937854369104,1.8,3.600000000000001,54,3.7821681124664015,0,seguir,0
9,3.8632312431704663,3.33295491756228,1.893191663049146,0.7234336566984323,1.8,3.2000000000000006,54,3.857558785358399,0,seguir,0
10,3.8225457220156014,3.4547496545943113,2.1631916630491457,0.8560703397980709,1.8,3.0000000000000004,54,3.9500938619494863,0,seguir,0
11,3.740546354225258,3.5765857076717413,2.4331916630491452,0.9790680409337664,1.8,2.8000000000000003,54,4.008418785488277,0,seguir,0
12,3.6159293968069552,3.6833515523701545,2.703191663049145,1.093990283734241,1.8,3.2000000000000006,54,4.25560334708139,0,seguir,0
13,3.4526470904005864,3.759902965885428,2.9731916630491444,1.2022429130877703,1.8,3.400000000000001,54,4.202793656326146,0,seguir,0
14,3.259673956675433,3.79271054959349,-3.0399936441304423,1.3049473022730327,1.8,3.2000000000000006,54,4.3709261864128415,0,seguir,0
15,3.0503220693267594,3.771367116432505,-2.7699936441304422,1.4029137120142983,1.8,3.2000000000000006,54,4.270782334437023,0,seguir,0
16,2.8411495682420775,3.689851784140831,-2.4999936441304422,1.4966315453732664,1.8,3.400000000000001,54,4.4566176114559,0,seguir,0
17,2.6505325560129966,3.5474547381380312,-2.2562542297581873,1.5862151186808733,1.6249294291483662,4.000000000000001,54,4.4161735002735965,0,seguir,0
18,2.5954634192087958,3.4801107022808346,-1.9862542297581873,0.5799551321302634,1.8,3.800000000000001,54,3.7258095214474705,0,seguir,0
19,2.5513370636732433,3.380081701599498,-1.7162542297581873,0.728863231497646,1.8,3.600000000000001,54,3.98878559223043,0,seguir,0
20,2.5324592621479924,3.2512164140066657,-1.4462542297581873,0.8682711746609562,1.8,3.600000000000001,54,4.0323521902394495,0,seguir,0
21,2.5510776784559015,3.1024951760095796,-1.1762542297581873,0.9992141814045792,1.8,3.600000000000001,54,4.129694920005906,0,seguir,0
22,2.615832281109244,2.9469750569936357,-0.9062542297581873,1.123084363775357,1.8,3.600000000000001,54,4.1801610582079345,0,seguir,0
23,2.7306594125585137,2.8004013297062444,-0.6362542297581872,1.2413098395160618,1.8,3.800000000000001,54,4.199470324193594,0,seguir,0
24,2.894167628500699,2.679611635475257,-0.3662542297581872,1.3552381818216257,1.8,3.800000000000001,54,4.386236786065968,0,seguir,0
25,3.0995039621974696,2.600852807216885,-0.0962542297581872,1.4661508633101277,1.8,3.800000000000001,54,4.49652748480399,0,seguir,0
26,3.3347163720757442,2.5781424382595555,0.15387058455056524,1.5753749270700756,1.6674987620583503,3.800000000000001,54,4.565164738709045,0,seguir,0
27,3.582534398841941,2.616578159493013,0.34715338753522884,1.6718729225635607,1.2885520198977585,3.800000000000001,54,4.205376239153206,0,seguir,0
28,3.8269824227057683,2.7050209024066314,0.5044070676143861,1.7330378612907795,1.0483578671943827,3.600000000000001,54,4.2665283876293705,0,seguir,0
29,3.8795100938457967,2.734018208567808,0.7744070676143862,0.4,1.8,3.600000000000001,54,3.746412342910004,0,seguir,0
30,3.922400241411958,2.77597574950806,1.0444070676143866,0.4,1.8,3.400000000000001,54,3.649237396359077,0,seguir,0
31,3.963313498920302,2.846385114541334,1.3144070676143862,0.5428882972616769,1.8,3.800000000000001,54,3.787449249350664,0,seguir,0
32,3.9895145599140993,2.946328522406952,1.5844070676143858,0.6888050965417982,1.8,3.400000000000001,54,3.886581376758265,0,seguir,0
