step,x,y,yaw,v_cmd,w_cmd,lidar_min,path_len_left,motor_current,maintenance_alert,ai_action,path_blocked
0,2.725,2.5,0.27,1.5,1.8,3.600000000000001,54,4.379540878360829,0,seguir,0
1,2.9550931451462126,2.5636801499282886,0.5105573469232647,1.5916171641609653,1.6037156461550972,3.600000000000001,54,4.438855997915786,0,seguir,0
2,3.2139760814101765,2.708678068382568,0.5234245585362904,1.9781559431250937,0.08578141075350376,3.600000000000001,54,3.9998164930473394,0,seguir,0
3,3.4714785698388706,2.8572873903064626,0.5339945962810932,1.9820557466052984,0.07046691829868501,3.400000000000001,54,3.911961875489383,0,seguir,0
4,3.7276968464717983,3.00878812118071,0.5431916630491473,1.9843865745271252,0.061313778453694345,3.400000000000001,54,3.9283380174929654,0,seguir,0
5,3.7790606484732354,3.039800374306808,0.8131916630491474,0.4,1.8,4.000000000000001,54,3.617063672256247,0,seguir,0
6,3.820291643137639,3.083389422002117,1.0831916630491474,0.4,1.8,3.400000000000001,54,3.647483060005118,0,seguir,0
7,3.8501384510041365,3.139670677052755,1.353191663049147,0.42470442584066337,1.8,3.2000000000000006,54,3.7621981292555406,0,seguir,0
8,3.8689143245258077,3.224588786606616,1.6231916630491465,0.5797937854369104,1.8,3.400000000000001,54,3.8302143289246913,0,seguir,0
9,3.8632312431704663,3.33295491756228,1.893191663049146,0.7234336566984323,1.8,3.2000000000000006,54,3.9381882660913985,0,seguir,0
10,3.8225457220156014,3.4547496545943113,2.1631916630491457,0.8560703397980709,1.8,3.0000000000000004,54,3.870377685344279,0,seguir,0
11,3.740546354225258,3.5765857076717413,2.4331916630491452,0.9790680409337664,1.8,2.8000000000000003,54,3.9422532532997527,0,seguir,0
12,3.6159293968069552,3.6833515523701545,2.703191663049145,1.093990283734241,1.8,2.8000000000000003,54,4.141774444947754,0,seguir,0
13,3.4526470904005864,3.759902965885428,2.9731916630491444,1.2022429130877703,1.8,2.6,54,4.218762722640102,0,seguir,0
14,3.259673956675433,3.79271054959349,-3.0399936441304423,1.3049473022730327,1.8,2.4,54,4.40281535022009,0,seguir,0
15,3.0503220693267594,3.771367116432505,-2.7699936441304422,1.4029137120142983,1.8,2.6,54,4.322305849875559,0,seguir,0
16,2.8411495682420775,3.689851784140831,-2.4999936441304422,1.4966315453732664,1.8,2.4,54,4.472222331564351,0,seguir,0
17,2.6505325560129966,3.5474547381380312,-2.2562542297581873,1.5862151186808733,1.6249294291483662,2.4,54,4.379884015868622,0,seguir,0
18,2.5954634192087958,3.4801107022808346,-1.9862542297581873,0.5799551321302634,1.8,2.6,54,3.744147550825936,0,seguir,0
19,2.5513370636732433,3.380081701599498,-1.7162542297581873,0.728863231497646,1.8,2.6,54,3.956694784679571,0,seguir,0
20,2.5324592621479924,3.2512164140066657,-1.4462542297581873,0.8682711746609562,1.8,2.8000000000000003,54,3.963782669231747,0,seguir,0
21,2.5510776784559015,3.1024951760095796,-1.1762542297581873,0.9992141814045792,1.8,2.8000000000000003,54,4.057039799154052,0,seguir,0
22,2.615832281109244,2.9469750569936357,-0.9062542297581873,1.123084363775357,1.8,3.0000000000000004,54,4.101730106408668,0,seguir,0
